,0
1847,23
1848,6
1849,4
1850,3
1851,2
1852,55
1853,16
1854,16
1855,43
1856,6
1857,6
1858,4
1859,36
1860,5
1861,35
1862,11
1863,39
1864,10
1865,10
1866,45
1867,5
1868,2
1869,23
1870,17
1871,6
1872,29
1873,2
1874,24
1875,7
1876,5
1877,4
1878,9
1879,5
1880,3
1881,3
1882,30
1883,57
1884,39
1885,9
1886,5
1887,7
1888,7
1889,3
1890,45
1891,33
1892,4
1893,5
1894,24
1895,3
1896,5
1897,15
1898,56
1899,11
1900,44
1901,10
1902,2
1903,6
1904,9
1905,6
1906,1
1907,9
1908,27
1909,17
1910,10
1911,8
1912,49
1913,2
1914,54
1915,16
1916,27
1917,14
1918,1
1919,24
1920,3
1921,28
1922,15
1923,12
1924,4
1925,15
1926,3
1927,37
1928,55
1929,10
1930,17
1931,31
1932,12
1933,5
1934,4
1935,4
1936,6
1937,18
1938,28
1939,9
1940,12
1941,6
1942,10
1943,2
1944,3
1945,3
1946,2
1947,24
1948,5
1949,59
1950,7
1951,5
1952,4
1953,9
1954,1
1955,7
1956,50
1957,2
1958,1
1959,1
1960,39
1961,14
1962,3
1963,19
1964,3
1965,13
1966,4
1967,4
1968,4
1969,4
1970,54
1971,11
1972,2
1973,11
1974,1
1975,5
1976,11
1977,32
1978,13
1979,2
1980,2
1981,3
1982,30
1983,36
1984,4
1985,1
1986,38
1987,4
1988,37
1989,19
1990,2
1991,64
1992,1
1993,25
1994,36
1995,1
1996,1
1997,3
1998,17
1999,20
2000,4
2001,16
2002,37
2003,13
2004,19
2005,54
2006,23
2007,1
2008,19
2009,1
2010,3
2011,2
2012,12
2013,43
2014,10
2015,1
2016,2
2017,2
2018,13
2019,6
2020,7
2021,3
2022,3
2023,5
2024,27
2025,8
2026,2
2027,10
2028,42
2029,1
2030,49
2031,7
2032,11
2033,6
2034,6
2035,4
2036,14
2037,4
2038,1
2039,8
2040,19
2041,9
2042,18
2043,13
2044,8
2045,6
2046,1
2047,17
2048,8
2049,12
2050,4
2051,21
2052,8
2053,13
2054,22
2055,1
2056,2
2057,2
2058,2
2059,6
2060,3
2061,4
2062,29
2063,28
2064,23
2065,27
2066,60
2067,2
2068,62
2069,25
2070,13
2071,3
2072,20
2073,9
2074,8
2075,28
2076,41
2077,1
2078,11
2079,58
2080,5
